Image_Name,Mask_Name,Text_Prompt
image_0.png,image_0.png,"suburban sidewalk area, dawn lighting, after rain with wet surfaces, natural lighting, slight motion blur, quiet urban environment"
image_1.png,image_1.png,"urban street scene, dusk lighting, light rain, smartphone camera, shallow depth of field, calm urban area, natural lighting"
image_10.png,image_10.png,"commercial district, overcast lighting, overcast sky, ISO 800 with noise, motion blur, roadside activity, realistic photo"
image_100.png,image_100.png,"city pedestrian zone, night illumination, light fog, smartphone camera, rolling shutter skew, active traffic corridor"
image_101.png,image_101.png,"suburban sidewalk area, night illumination, clear weather, JPEG compression, slight blur, quiet urban environment, realistic photo"
image_102.png,image_102.png,"residential neighborhood, early morning light, fog, ISO 800 with noise, calm urban area"
image_103.png,image_103.png,"residential neighborhood, noon bright sunlight, overcast sky, JPEG compression artifacts, slight blur, calm urban area"
image_104.png,image_104.png,"suburban sidewalk area, evening twilight, fog, phone photo, quiet urban environment, natural lighting"
image_105.png,image_105.png,"intersection area, dusk lighting, drizzle, ISO 1600, motion blur, urban street traffic"
image_106.png,image_106.png,"industrial district street, overcast lighting, overcast sky, natural lighting, street-level urban movement"
image_107.png,image_107.png,"city pedestrian zone, dawn lighting, overcast sky, JPEG compression, roadside activity"
image_108.png,image_108.png,"industrial district street, HDR lighting, overcast sky, road activity"
image_109.png,image_109.png,"campus walkway, HDR lighting, overcast sky, high ISO noise, calm urban area"
image_11.png,image_11.png,"suburban sidewalk area, midday lighting, light rain, smartphone camera, rolling shutter skew, pedestrian street environment"
image_110.png,image_110.png,"urban street scene, HDR lighting, overcast sky, slight motion blur, urban street traffic"
image_111.png,image_111.png,"urban street scene, evening twilight, clear weather, natural lighting, street-level urban movement"
image_112.png,image_112.png,"industrial district street, midday lighting, wet road surface, slight chroma noise, active roadway"
image_113.png,image_113.png,"industrial district street, early morning light, light fog, natural lighting, street-level road scene"
image_114.png,image_114.png,"city pedestrian zone, dusk lighting, light rain, ISO 1600, urban street traffic"
image_115.png,image_115.png,"intersection area, noon bright sunlight, overcast sky, phone photo, active traffic corridor, natural lighting"
image_116.png,image_116.png,"campus walkway, early morning light, wet road surface, ISO 1600, pedestrian area"
image_117.png,image_117.png,"intersection area, HDR lighting, after rain with wet surfaces, JPEG compression artifacts, active traffic corridor"
image_118.png,image_118.png,"intersection area, early morning light, fog, slight chroma noise, street-level road scene"
image_119.png,image_119.png,"commercial district, dusk lighting, after rain with wet surfaces, high ISO noise, road activity"
image_12.png,image_12.png,"suburban sidewalk area, dusk lighting, fog, natural lighting, walkway environment"
image_120.png,image_120.png,"suburban sidewalk area, early morning light, fog, ISO 800 with noise, walkway environment, realistic photo"
image_121.png,image_121.png,"intersection area, overcast lighting, rain, slight chroma noise, street-level road scene, raw camera capture"
image_122.png,image_122.png,"urban street scene, early morning light, light rain, ISO 800 with noise, mixed traffic environment"
image_123.png,image_123.png,"suburban sidewalk area, dusk lighting, light fog, natural lighting, pedestrian street environment"
image_124.png,image_124.png,"residential neighborhood, overcast lighting, clear weather, natural lighting, motion blur, roadside activity"
image_125.png,image_125.png,"suburban sidewalk area, sunny conditions, light rain, JPEG compression, pedestrian area"
image_126.png,image_126.png,"city pedestrian zone, early morning light, overcast sky, smartphone camera, active traffic corridor"
image_127.png,image_127.png,"suburban sidewalk area, evening twilight, rain, JPEG compression artifacts, rolling shutter effect, quiet urban environment"
image_129.png,image_129.png,"intersection area, sunny conditions, fog, natural lighting, street-level road scene"
image_13.png,image_13.png,"residential neighborhood, HDR lighting, fog, smartphone camera, slight blur, street-level urban movement"
image_130.png,image_130.png,"city pedestrian zone, evening twilight, wet road surface, JPEG compression artifacts, shallow DOF, roadside activity"
image_131.png,image_131.png,"industrial district street, early morning light, after rain with wet surfaces, natural lighting, street-level urban activity"
image_132.png,image_132.png,"campus walkway, HDR lighting, drizzle, high ISO noise, quiet urban environment"
image_133.png,image_133.png,"city pedestrian zone, night illumination, overcast sky, natural lighting, active traffic corridor"
image_134.png,image_134.png,"intersection area, evening twilight, overcast sky, natural lighting, shallow DOF, roadside activity"
image_135.png,image_135.png,"campus walkway, HDR lighting, overcast sky, walkway environment"
image_136.png,image_136.png,"intersection area, HDR lighting, rain, smartphone camera, slight motion blur, roadside activity"
image_137.png,image_137.png,"city pedestrian zone, dawn lighting, light fog, natural lighting, active traffic corridor"
image_138.png,image_138.png,"industrial district street, sunny conditions, rain, ISO 1600, rolling shutter effect, road activity"
image_139.png,image_139.png,"urban street scene, overcast lighting, drizzle, natural lighting, shallow DOF, street-level road scene"
image_14.png,image_14.png,"campus walkway, midday lighting, overcast sky, ISO 1600, quiet urban environment, natural lighting"
image_140.png,image_140.png,"commercial district, midday lighting, drizzle, phone photo, rolling shutter effect, active roadway, realistic photo"
image_141.png,image_141.png,"suburban sidewalk area, sunny conditions, after rain with wet surfaces, ISO 800 with noise, pedestrian area"
image_143.png,image_143.png,"industrial district street, early morning light, light fog, ISO 1600, slight blur, active roadway, natural lighting"
image_144.png,image_144.png,"suburban sidewalk area, sunny conditions, light rain, ISO 800 with noise, slight blur, calm urban area, realistic photo"
image_145.png,image_145.png,"commercial district, overcast lighting, overcast sky, natural lighting, street-level road scene"
image_147.png,image_147.png,"intersection area, sunny conditions, drizzle, JPEG compression, slight blur, roadside activity, realistic photo"
image_148.png,image_148.png,"campus walkway, early morning light, after rain with wet surfaces, ISO 1600, calm urban area, raw camera capture"
image_15.png,image_15.png,"campus walkway, HDR lighting, clear weather, slight chroma noise, slight blur, pedestrian area"
image_150.png,image_150.png,"residential neighborhood, evening twilight, fog, ISO 1600, quiet urban environment, natural lighting"
image_151.png,image_151.png,"industrial district street, night illumination, drizzle, natural lighting, shallow depth of field, urban street traffic"
image_152.png,image_152.png,"residential neighborhood, sunny conditions, clear weather, natural lighting, street-level urban movement"
image_153.png,image_153.png,"commercial district, night illumination, wet road surface, smartphone camera, street-level urban movement"
image_154.png,image_154.png,"campus walkway, HDR lighting, light fog, ISO 800 with noise, calm urban area"
image_155.png,image_155.png,"industrial district street, overcast lighting, drizzle, slight chroma noise, active traffic corridor, natural lighting"
image_156.png,image_156.png,"campus walkway, sunny conditions, drizzle, ISO 800 with noise, quiet urban environment"
image_157.png,image_157.png,"intersection area, midday lighting, rain, natural lighting, mixed traffic environment"
image_158.png,image_158.png,"urban street scene, midday lighting, wet road surface, natural lighting, active roadway"
image_159.png,image_159.png,"residential neighborhood, sunny conditions, rain, ISO 1600, rolling shutter skew, street-level urban movement, realistic photo"
image_16.png,image_16.png,"intersection area, dawn lighting, overcast sky, natural lighting, urban street traffic"
image_160.png,image_160.png,"industrial district street, sunny conditions, fog, natural lighting, active traffic corridor"
image_161.png,image_161.png,"campus walkway, early morning light, fog, smartphone camera, pedestrian area"
image_162.png,image_162.png,"city pedestrian zone, midday lighting, light fog, high ISO noise, shallow depth of field, street-level urban movement, realistic photo"
image_163.png,image_163.png,"commercial district, sunny conditions, wet road surface, smartphone camera, rolling shutter skew, road activity"
image_164.png,image_164.png,"industrial district street, evening twilight, light fog, JPEG compression, rolling shutter effect, street-level road scene"
image_165.png,image_165.png,"intersection area, sunny conditions, after rain with wet surfaces, natural lighting, shallow depth of field, roadside activity"
image_166.png,image_166.png,"urban street scene, dusk lighting, clear weather, phone photo, motion blur, active roadway"
image_167.png,image_167.png,"industrial district street, sunny conditions, rain, phone photo, shallow depth of field, roadside activity"
image_168.png,image_168.png,"city pedestrian zone, midday lighting, rain, natural lighting, urban activity zone"
image_169.png,image_169.png,"city pedestrian zone, dawn lighting, rain, high ISO noise, shallow depth of field, roadside activity"
image_17.png,image_17.png,"industrial district street, noon bright sunlight, light rain, smartphone camera, shallow depth of field, street-level road scene, natural lighting"
image_170.png,image_170.png,"campus walkway, dusk lighting, rain, phone photo, walkway environment"
image_171.png,image_171.png,"city pedestrian zone, noon bright sunlight, overcast sky, ISO 800 with noise, street-level road scene"
image_172.png,image_172.png,"industrial district street, midday lighting, light fog, slight chroma noise, shallow DOF, street-level road scene, realistic photo"
image_173.png,image_173.png,"suburban sidewalk area, midday lighting, fog, JPEG compression, walkway environment"
image_174.png,image_174.png,"industrial district street, sunny conditions, after rain with wet surfaces, ISO 1600, slight blur, active roadway"
image_176.png,image_176.png,"urban street scene, dusk lighting, rain, phone photo, rolling shutter skew, calm urban area, realistic photo"
image_177.png,image_177.png,"city pedestrian zone, overcast lighting, clear weather, ISO 1600, rolling shutter effect, quiet urban environment"
image_178.png,image_178.png,"industrial district street, midday lighting, after rain with wet surfaces, slight chroma noise, road activity, raw camera capture"
image_179.png,image_179.png,"urban street scene, sunny conditions, light fog, high ISO noise, motion blur, roadside activity"
image_18.png,image_18.png,"urban street scene, sunny conditions, rain, natural lighting, shallow DOF, active traffic corridor"
image_180.png,image_180.png,"industrial district street, night illumination, overcast sky, JPEG compression, street-level urban movement, raw camera capture"
image_181.png,image_181.png,"city pedestrian zone, dawn lighting, fog, natural lighting, shallow depth of field, roadside activity"
image_182.png,image_182.png,"commercial district, dusk lighting, light fog, ISO 1600, roadside activity"
image_183.png,image_183.png,"residential neighborhood, evening twilight, overcast sky, smartphone camera, slight motion blur, street-level urban movement"
image_184.png,image_184.png,"commercial district, noon bright sunlight, fog, natural lighting, slight blur, street-level urban movement"
image_185.png,image_185.png,"intersection area, evening twilight, light fog, natural lighting, street-level road scene"
image_186.png,image_186.png,"intersection area, overcast lighting, wet road surface, JPEG compression, urban street traffic"
image_187.png,image_187.png,"residential neighborhood, sunny conditions, after rain with wet surfaces, phone photo, road activity, natural lighting"
image_188.png,image_188.png,"commercial district, overcast lighting, clear weather, JPEG compression, roadside activity, realistic photo"
image_189.png,image_189.png,"suburban sidewalk area, noon bright sunlight, fog, ISO 1600, calm urban area"
image_19.png,image_19.png,"industrial district street, night illumination, light fog, slight chroma noise, slight blur, roadside activity"
image_190.png,image_190.png,"urban street scene, sunny conditions, after rain with wet surfaces, ISO 1600, shallow depth of field, active roadway"
image_191.png,image_191.png,"suburban sidewalk area, dawn lighting, after rain with wet surfaces, JPEG compression artifacts, pedestrian area, raw camera capture"
image_192.png,image_192.png,"urban street scene, sunny conditions, light fog, slight chroma noise, shallow DOF, street-level road scene"
image_193.png,image_193.png,"intersection area, noon bright sunlight, light fog, natural lighting, rolling shutter skew, street-level urban movement"
image_194.png,image_194.png,"campus walkway, dawn lighting, clear weather, ISO 800 with noise, calm urban area, realistic photo"
image_195.png,image_195.png,"intersection area, dawn lighting, light fog, natural lighting, urban street traffic"
image_196.png,image_196.png,"commercial district, overcast lighting, clear weather, natural lighting, street-level road scene"
image_197.png,image_197.png,"campus walkway, noon bright sunlight, drizzle, slight chroma noise, walkway environment, raw camera capture"
